"entity_description","total_orders","total_spend","avg_order_value"
"Virginia Department of Transportation",1022,678458227.929260,101383.48
"Department of General Services",117,279115691.26756,598960.71
"Virginia Department of Health",3054,218759898.85618,23085.68
"Department of Social Services",481,210505048.6268,90656.78
"Virginia Information Technologies Agency",71,131249199.72,282864.65
"Department of Rail and Public Transportation",58,99875770.14,174607.99
"Department of Medical Assistance Services",145,69626469.9720,161172.38
"George Mason University",3885,66700152.117240,6137.30
"Virginia State University",868,54763491.6690,10687.64
"Northern Virginia Community College",897,53068452.1436,15994.11
"Department of Motor Vehicles",99,42988827.370,110227.76
"Department of Behavioral Health and Developmental Services",81,33837716.075980,132178.58
"Virginia Department of Emergency Management",54,32084199.4000,44437.95
"Norfolk State University",645,29567934.2944,8154.42
"Department of Education",87,27747902.280,68682.93
