"vendor_name","vendor_address_city","contracts_won","total_revenue","agencies_served"
"Allan Myers VA Inc","Glen Allen",2730,4794498691.958440,1
"Shirley Contracting Company LLC","Lorton",22,3826203532.28,1
"Branch Civil Inc","Roanoke",44,1424667031.66,1
"W-L Construction & Paving Inc","Chilhowie",7852,1372185908.241220,1
"ELIZABETH RIVER CROSSINGS OPCO LLC","ALEXANDRIA",2,1170952343.38,1
"Gilbane Building Co","Richmond",26,1150195400.84,3
"Kjellstrom and Lee Inc","Richmond",152,1123696619.78,3
"Curtis Contracting Inc","West Point",9456,1104572776.137720,1
"The Whiting-Turner Contracting Company","Richmond",286,1065055399.90,5
"ISG Rents LLC","Mechanicsville",338,1044188453.16,3
"Hourigan Construction Corp","Virginia Beach",32,887173863.72,3
"jamerson-lewis construction","lynchburg",62,867750115.30,4
"Adams Construction Company","Roanoke",6590,836291614.452760,2
"Superior Paving Corporation","Gainesville",2632,539673782.952400,1
"BOXLEY MATERIALS CO","Roanoke",3362,430280717.775440,3
"Barton Malow Builders LLC","Charlottesville",18,414569936.08,2
"S B Ballard Construction Company","Virginia Beach",108,407794821.16,5
"CGI Technologies and Solutions Inc.","Fairfax",500,395272382.06676,2
"ATCS CH2M HILL JOINT VENTURE","DULLES",2,344000000,1
"Glass Machinery and Excavation Inc","Jonesville",3838,336633861.6278,3
