"sector","order_count","total_spend","pct_of_total"
"CONSTRUCTION SERVICES, GENERAL (INCL. MAINTENANCE AND REPAIR SERVICES)",1976,11999098871.5736,25.31
"Maintenance and Repair, Highway and Road (To include the removal of asphalt, concrete, bitumens, etc)",11546,5209572898.081320,10.99
"Business Management Services",2294,2992371864.545940,6.31
"Institutional Furniture, All Types",50888,2946269949.003060,6.21
"Asphalt, AC (Asphalt/Cement)",30150,2367601452.226260,4.99
"Mining and Quarrying Services",44430,2326160261.096540,4.91
"MISCELLANEOUS SERVICES, NO. 1 (NOT OTHERWISE CLASSIFIED)",125190,1868147250.345640,3.94
"CONSTRUCTION SERVICES, TRADE (NEW CONSTRUCTION)",550,1781823286.54,3.76
"Snow and Ice Removal Services",3698,927389256.960,1.96
"Grounds Maintenance: Mowing, Edging, Plant (Not Tree) Trimming, etc.",13968,630565647.393400,1.33
