"order_month","entity_description","monthly_spend","unique_vendors"
"2023-07-01 00:00:00-04","Virginia Department of Transportation",2012222004.86404,557
"2023-07-01 00:00:00-04","University of Virginia",244498052.1196,519
"2023-07-01 00:00:00-04","Department of Social Services",83162504.042,122
"2023-07-01 00:00:00-04","Department of Education",76682292.92,62
"2023-07-01 00:00:00-04","Virginia Commonwealth University",63070930.9558,410
"2023-07-01 00:00:00-04","College of William & Mary",52454197.99714,283
"2023-07-01 00:00:00-04","George Mason University",45764536.37024,400
"2023-07-01 00:00:00-04","Virginia Department of Health",40799939.98024,189
"2023-07-01 00:00:00-04","Department of Conservation and Recreation",36055531.72852,206
"2023-07-01 00:00:00-04","Department of General Services",31346852.16852,103
"2023-07-01 00:00:00-04","Virginia State University",26170716.7110,111
"2023-07-01 00:00:00-04","Department of Environmental Quality",22455918.66,55
"2023-07-01 00:00:00-04","Old Dominion University",21622229.4348,107
"2023-07-01 00:00:00-04","Department of Rail and Public Transportation",20646767.58,18
"2023-07-01 00:00:00-04","Northern Virginia Community College",19910003.31710,160
"2023-07-01 00:00:00-04","James Madison University",19642245.4786,262
"2023-07-01 00:00:00-04","Longwood University",19549880.82,70
"2023-07-01 00:00:00-04","Virginia Community College System - System Office",16445459.28,43
"2023-07-01 00:00:00-04","Virginia Polytechnic Institute and State University",13681395.16730,525
"2023-07-01 00:00:00-04","Eastern State Hospital",13356454.4564,54
"2023-07-01 00:00:00-04","Virginia Military Institute",11224156.30284,111
"2023-07-01 00:00:00-04","Loudoun County Public Schools",11155472,2
"2023-07-01 00:00:00-04","Office of the Attorney General",9730499.50,48
"2023-07-01 00:00:00-04","Central State Hospital",9486825.08,47
"2023-07-01 00:00:00-04","Tidewater Community College",8752169.48,109
"2023-07-01 00:00:00-04","Department of Behavioral Health and Developmental Services",8542105.576,55
"2023-07-01 00:00:00-04","Department of Corrections",8402811.24586,134
"2023-07-01 00:00:00-04","Virginia State Police",7271233.514,120
"2023-07-01 00:00:00-04","University of Mary Washington",7196156.24,94
"2023-07-01 00:00:00-04","Division of Community Corrections",6765565.9016,81
"2023-07-01 00:00:00-04","Norfolk State University",5992333.7058,64
"2023-07-01 00:00:00-04","DOC - Division of Institutions",5960322.60762,69
"2023-07-01 00:00:00-04","Department of Military Affairs",5941830.5038,37
"2023-07-01 00:00:00-04","Reynolds Community College",5556979.38,104
"2023-07-01 00:00:00-04","Virginia Peninsula Community College",5475431.768,55
"2023-07-01 00:00:00-04","Department of Motor Vehicles",5355639.444,66
"2023-07-01 00:00:00-04","Chesterfield County",4780212,1
"2023-07-01 00:00:00-04","Brightpoint Community College",4179014.56,67
"2023-07-01 00:00:00-04","Richard Bland College",3819484.20,38
"2023-07-01 00:00:00-04","Radford University",3802111.0422,141
"2023-07-01 00:00:00-04","Laurel Ridge Community College",3753594.18,72
"2023-07-01 00:00:00-04","Virginia Department of Energy",3714042.46,53
"2023-07-01 00:00:00-04","Christopher Newport University",3679180.2360,154
"2023-07-01 00:00:00-04","Germanna Community College",3644015.0076,90
"2023-07-01 00:00:00-04","Town of Blacksburg",3421666,2
"2023-07-01 00:00:00-04","Bedford County Public Schools",3258006,1
"2023-07-01 00:00:00-04","Virginia Information Technologies Agency",3152344.28,12
"2023-07-01 00:00:00-04","Lunenburg Correctional Center",3102584.4384,24
"2023-07-01 00:00:00-04","City of Danville",3059388,1
"2023-07-01 00:00:00-04","Department of Accounts",2986629.86,5
"2023-07-01 00:00:00-04","James City County",2803176,1
"2023-07-01 00:00:00-04","Sussex I and Sussex II State Prisons Complex",2776621.46,18
"2023-07-01 00:00:00-04","Red Onion Correctional Center",2564099.60,21
"2023-07-01 00:00:00-04","Department of Health Professions",2556937.2288,33
"2023-07-01 00:00:00-04","Virginia Museum of Fine Arts",2222943.16,64
"2023-07-01 00:00:00-04","Department of Taxation",2146494.30,20
"2023-07-01 00:00:00-04","Stafford County Public Schools",2110865.46,2
"2023-07-01 00:00:00-04","Coffeewood Correctional Center",2002869.832,33
